,chunk,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,book,Query,Filename,ISBN13,Title,Author,PublishedDate,ImgURL,NumPages,AvgRtg,Description,BuyLink,Price,Currency,Book,TopEmotion1,TopEmotion2,TopEmotion3,Most Similar,2nd Most Similar,3rd Most Similar
10,11,0.072684642,0.103165299,0.036733099,0.105509965,0.08636186,0.161781946,0.181320828,0.080109418,0.054318093,0.11801485,01 - The Fellowship Of The Ring,01 - The Fellowship Of The Ring,01 - The Fellowship Of The Ring.txt,"{'type': 'OTHER', 'identifier': 'OCLC:1091222660'}",The Fellowship of the Ring,,2012,,,,"In a sleepy village in the Shire, a young hobbit is entrusted with an immense task. He must make a perilous journey across Middle-earth to the Cracks of Doom, there to destroy the ruling ring of power - the only thing that prevents the dark lord's evil dominion.",,,,01 - The Fellowship Of The Ring,anticipation,trust,fear,The Brothers Karamazov by Fyodor Dostoyevsky (283),Lolita,The Girl with the Dragon Tattoo - Stieg Larsson
11,12,0.057700467,0.115825202,0.034365719,0.090793381,0.095884599,0.149766653,0.19813322,0.081883751,0.056003394,0.119643615,01 - The Fellowship Of The Ring,01 - The Fellowship Of The Ring,01 - The Fellowship Of The Ring.txt,"{'type': 'OTHER', 'identifier': 'OCLC:1091222660'}",The Fellowship of the Ring,,2012,,,,"In a sleepy village in the Shire, a young hobbit is entrusted with an immense task. He must make a perilous journey across Middle-earth to the Cracks of Doom, there to destroy the ruling ring of power - the only thing that prevents the dark lord's evil dominion.",,,,01 - The Fellowship Of The Ring,anticipation,trust,fear,The Brothers Karamazov by Fyodor Dostoyevsky (283),Lolita,The Girl with the Dragon Tattoo - Stieg Larsson
12,13,0.079891934,0.108452335,0.050945581,0.109610189,0.067155538,0.166730992,0.176765728,0.082593593,0.04515631,0.1126978,01 - The Fellowship Of The Ring,01 - The Fellowship Of The Ring,01 - The Fellowship Of The Ring.txt,"{'type': 'OTHER', 'identifier': 'OCLC:1091222660'}",The Fellowship of the Ring,,2012,,,,"In a sleepy village in the Shire, a young hobbit is entrusted with an immense task. He must make a perilous journey across Middle-earth to the Cracks of Doom, there to destroy the ruling ring of power - the only thing that prevents the dark lord's evil dominion.",,,,01 - The Fellowship Of The Ring,anticipation,trust,fear,The Brothers Karamazov by Fyodor Dostoyevsky (283),Lolita,The Girl with the Dragon Tattoo - Stieg Larsson
13,14,0.060858144,0.124781086,0.033274956,0.09938704,0.081873905,0.153677758,0.185639229,0.083187391,0.057793345,0.119527145,01 - The Fellowship Of The Ring,01 - The Fellowship Of The Ring,01 - The Fellowship Of The Ring.txt,"{'type': 'OTHER', 'identifier': 'OCLC:1091222660'}",The Fellowship of the Ring,,2012,,,,"In a sleepy village in the Shire, a young hobbit is entrusted with an immense task. He must make a perilous journey across Middle-earth to the Cracks of Doom, there to destroy the ruling ring of power - the only thing that prevents the dark lord's evil dominion.",,,,01 - The Fellowship Of The Ring,anticipation,trust,fear,The Brothers Karamazov by Fyodor Dostoyevsky (283),Lolita,The Girl with the Dragon Tattoo - Stieg Larsson
14,15,0.093023256,0.104651163,0.051679587,0.108096469,0.062015504,0.186477175,0.147286822,0.093023256,0.062015504,0.091731266,01 - The Fellowship Of The Ring,01 - The Fellowship Of The Ring,01 - The Fellowship Of The Ring.txt,"{'type': 'OTHER', 'identifier': 'OCLC:1091222660'}",The Fellowship of the Ring,,2012,,,,"In a sleepy village in the Shire, a young hobbit is entrusted with an immense task. He must make a perilous journey across Middle-earth to the Cracks of Doom, there to destroy the ruling ring of power - the only thing that prevents the dark lord's evil dominion.",,,,01 - The Fellowship Of The Ring,anticipation,trust,fear,The Brothers Karamazov by Fyodor Dostoyevsky (283),Lolita,The Girl with the Dragon Tattoo - Stieg Larsson
15,16,0.09258427,0.097977528,0.048089888,0.125842697,0.051235955,0.2,0.146516854,0.096629213,0.057977528,0.083146067,01 - The Fellowship Of The Ring,01 - The Fellowship Of The Ring,01 - The Fellowship Of The Ring.txt,"{'type': 'OTHER', 'identifier': 'OCLC:1091222660'}",The Fellowship of the Ring,,2012,,,,"In a sleepy village in the Shire, a young hobbit is entrusted with an immense task. He must make a perilous journey across Middle-earth to the Cracks of Doom, there to destroy the ruling ring of power - the only thing that prevents the dark lord's evil dominion.",,,,01 - The Fellowship Of The Ring,anticipation,trust,fear,The Brothers Karamazov by Fyodor Dostoyevsky (283),Lolita,The Girl with the Dragon Tattoo - Stieg Larsson
16,17,0.087024696,0.107016856,0.056056448,0.099176793,0.084280674,0.156409251,0.164641317,0.085848687,0.057232458,0.102312819,01 - The Fellowship Of The Ring,01 - The Fellowship Of The Ring,01 - The Fellowship Of The Ring.txt,"{'type': 'OTHER', 'identifier': 'OCLC:1091222660'}",The Fellowship of the Ring,,2012,,,,"In a sleepy village in the Shire, a young hobbit is entrusted with an immense task. He must make a perilous journey across Middle-earth to the Cracks of Doom, there to destroy the ruling ring of power - the only thing that prevents the dark lord's evil dominion.",,,,01 - The Fellowship Of The Ring,anticipation,trust,fear,The Brothers Karamazov by Fyodor Dostoyevsky (283),Lolita,The Girl with the Dragon Tattoo - Stieg Larsson
17,18,0.07086286,0.110879533,0.052105044,0.079199667,0.089203835,0.148395165,0.192580242,0.084201751,0.054189246,0.118382659,01 - The Fellowship Of The Ring,01 - The Fellowship Of The Ring,01 - The Fellowship Of The Ring.txt,"{'type': 'OTHER', 'identifier': 'OCLC:1091222660'}",The Fellowship of the Ring,,2012,,,,"In a sleepy village in the Shire, a young hobbit is entrusted with an immense task. He must make a perilous journey across Middle-earth to the Cracks of Doom, there to destroy the ruling ring of power - the only thing that prevents the dark lord's evil dominion.",,,,01 - The Fellowship Of The Ring,anticipation,trust,fear,The Brothers Karamazov by Fyodor Dostoyevsky (283),Lolita,The Girl with the Dragon Tattoo - Stieg Larsson
18,19,0.071637427,0.124756335,0.044834308,0.080896686,0.096978558,0.153508772,0.186159844,0.079434698,0.056530214,0.105263158,01 - The Fellowship Of The Ring,01 - The Fellowship Of The Ring,01 - The Fellowship Of The Ring.txt,"{'type': 'OTHER', 'identifier': 'OCLC:1091222660'}",The Fellowship of the Ring,,2012,,,,"In a sleepy village in the Shire, a young hobbit is entrusted with an immense task. He must make a perilous journey across Middle-earth to the Cracks of Doom, there to destroy the ruling ring of power - the only thing that prevents the dark lord's evil dominion.",,,,01 - The Fellowship Of The Ring,anticipation,trust,fear,The Brothers Karamazov by Fyodor Dostoyevsky (283),Lolita,The Girl with the Dragon Tattoo - Stieg Larsson
19,20,0.085058506,0.106660666,0.049954995,0.104860486,0.072457246,0.174167417,0.163366337,0.080558056,0.063456346,0.099459946,01 - The Fellowship Of The Ring,01 - The Fellowship Of The Ring,01 - The Fellowship Of The Ring.txt,"{'type': 'OTHER', 'identifier': 'OCLC:1091222660'}",The Fellowship of the Ring,,2012,,,,"In a sleepy village in the Shire, a young hobbit is entrusted with an immense task. He must make a perilous journey across Middle-earth to the Cracks of Doom, there to destroy the ruling ring of power - the only thing that prevents the dark lord's evil dominion.",,,,01 - The Fellowship Of The Ring,anticipation,trust,fear,The Brothers Karamazov by Fyodor Dostoyevsky (283),Lolita,The Girl with the Dragon Tattoo - Stieg Larsson
